id,title,subtitle,authors,publisher,published_date,category,distribution_expense
9781480000000,Deep Belief Nets in C++ and CUDA C: Volume 1,Restricted Boltzmann Machines and Supervised Feedforward Networks,Timothy Masters,Apress,23/4/18,deep learning,3.19
9780260000000,Neural Smithing,Supervised Learning in Feedforward Artificial Neural Networks,"Russell Reed, Robert J MarksII",MIT Press,17/2/99,deep learning,6.9
9781490000000,Analytical Skills for AI and Data Science,Building Skills for an AI-Driven Enterprise,Daniel Vaughan,O'Reilly Media,21/5/20,deep learning,7.3
1530826608,Make Your Own Neural Network,,Tariq Rashid,Createspace Independent Publishing Platform,31/3/16,deep learning,4.55
9781120000000,Decisively Digital,From Creating a Culture to Designing Strategy,Alexander Loth,John Wiley & Sons,28/5/21,deep learning,5.6
9789810000000,"Shaping the Future of Education, Communication and Technology",Selected Papers from the HKAECT 2019 International Conference,"Will W. K. Ma, Wendy Wing Lam Chan, Cat Miaoting Cheng",Springer,30/4/19,deep learning,4.22
9781800000000,Educational Reform and International Baccalaureate in the Asia-Pacific,,"Coulson, David Gregory, Datta, Shammi, Davies, Michael James",IGI Global,19/2/21,deep learning,3.19
9789390000000,Generative Adversarial Networks with Industrial Use Cases,"Learning How to Build GAN Applications for Retail, Healthcare, Telecom, Media, Education, and HRTech",Navin K Manaswi,BPB Publications,4/3/20,deep learning,6.9
9780130000000,Machine Learning with Python for Everyone,,Mark Fenner,Addison-Wesley Professional,30/7/19,deep learning,7.3
9789390000000,Image Processing Masterclass with Python,"50+ Solutions and Techniques Solving Complex Digital Image Processing Challenges Using Numpy, Scipy, Pytorch and Keras (English Edition)",Sandipan Dey,BPB Publications,10/3/21,deep learning,4.55
9781800000000,Interpretable Machine Learning with Python,Learn to build interpretable high-performance models with hands-on real-world examples,Serg Masís,Packt Publishing Ltd,26/3/21,deep learning,5.6
